2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
176.33, 83.79, 89.49, -1.00, -1.00
176.15, 83.03, 89.95, -1.00, -1.00
176.05, 82.33, 90.50, -1.00, -1.00
176.01, 81.71, 91.15, -1.00, -1.00
176.00, 81.17, 91.87, -1.00, -1.00
176.00, 80.71, 92.64, -1.00, -1.00
176.00, 80.36, 93.46, -1.00, -1.00
176.00, 80.14, 94.33, -1.00, -1.00
175.99, 80.04, 95.23, -1.00, -1.00
175.96, 80.00, 96.14, -1.00, -1.00
175.87, 80.00, 97.04, -1.00, -1.00
175.71, 80.00, 97.93, -1.00, -1.00
175.51, 79.97, 98.82, -1.00, -1.00
175.32, 79.91, 99.69, -1.00, -1.00
175.17, 79.78, 100.57, -1.00, -1.00
175.06, 79.49, 101.41, -1.00, -1.00
175.00, 78.97, 102.15, -1.00, -1.00
174.90, 78.32, 102.77, -1.00, -1.00
174.60, 77.69, 103.34, -1.00, -1.00
174.06, 77.24, 103.90, -1.00, -1.00
173.39, 77.05, 104.48, -1.00, -1.00
172.69, 77.00, 105.05, -1.00, -1.00
171.98, 77.00, 105.61, -1.00, -1.00
171.31, 77.00, 106.20, -1.00, -1.00
170.70, 77.00, 106.87, -1.00, -1.00
170.19, 77.00, 107.62, -1.00, -1.00
169.70, 77.00, 108.37, -1.00, -1.00
169.11, 76.99, 109.06, -1.00, -1.00
168.52, 76.93, 109.73, -1.00, -1.00
168.13, 76.70, 110.51, -1.00, -1.00
167.94, 76.31, 111.30, -1.00, -1.00
167.64, 75.83, 111.99, -1.00, -1.00
167.09, 75.36, 112.53, -1.00, -1.00
166.51, 75.09, 113.16, -1.00, -1.00
166.06, 75.01, 113.93, -1.00, -1.00
165.71, 75.00, 114.76, -1.00, -1.00
165.41, 75.00, 115.61, -1.00, -1.00
165.12, 75.00, 116.46, -1.00, -1.00
164.80, 75.00, 117.30, -1.00, -1.00
164.41, 75.00, 118.11, -1.00, -1.00
163.91, 75.00, 118.86, -1.00, -1.00
163.31, 75.00, 119.52, -1.00, -1.00
162.65, 75.00, 120.14, -1.00, -1.00
162.02, 75.00, 120.78, -1.00, -1.00
161.51, 75.00, 121.52, -1.00, -1.00
161.19, 75.00, 122.36, -1.00, -1.00
161.04, 75.00, 123.25, -1.00, -1.00
160.96, 75.00, 124.14, -1.00, -1.00
160.87, 75.00, 125.04, -1.00, -1.00
160.68, 75.00, 125.92, -1.00, -1.00
160.31, 75.00, 126.74, -1.00, -1.00
159.66, 75.00, 127.37, -1.00, -1.00
158.84, 74.99, 127.75, -1.00, -1.00
157.99, 74.94, 128.02, -1.00, -1.00
157.14, 74.84, 128.32, -1.00, -1.00
156.43, 74.65, 128.82, -1.00, -1.00
156.08, 74.41, 129.62, -1.00, -1.00
156.00, 74.21, 130.49, -1.00, -1.00
156.00, 74.08, 131.38, -1.00, -1.00
156.00, 74.01, 132.27, -1.00, -1.00
156.00, 73.96, 133.16, -1.00, -1.00
156.00, 73.87, 134.07, -1.00, -1.00
156.00, 73.70, 134.96, -1.00, -1.00
156.00, 73.51, 135.83, -1.00, -1.00
156.00, 73.33, 136.70, -1.00, -1.00
155.99, 73.19, 137.60, -1.00, -1.00
155.94, 73.09, 138.49, -1.00, -1.00
155.82, 73.03, 139.38, -1.00, -1.00
155.62, 73.01, 140.25, -1.00, -1.00
155.34, 73.00, 141.11, -1.00, -1.00
155.00, 73.00, 141.94, -1.00, -1.00
154.58, 72.98, 142.74, -1.00, -1.00
154.08, 72.91, 143.48, -1.00, -1.00
153.48, 72.77, 144.14, -1.00, -1.00
152.78, 72.55, 144.66, -1.00, -1.00
152.06, 72.29, 145.12, -1.00, -1.00
151.49, 72.09, 145.79, -1.00, -1.00
151.21, 72.00, 146.64, -1.00, -1.00
151.09, 71.94, 147.53, -1.00, -1.00
151.03, 71.82, 148.41, -1.00, -1.00
150.99, 71.63, 149.29, -1.00, -1.00
150.91, 71.42, 150.16, -1.00, -1.00
150.74, 71.23, 151.02, -1.00, -1.00
